Incident Date,Total Number of Dead and Missing,Coordinates
"Mon, 05/31/2021 , 12:00",1,"19.70339619, -98.45113375"
"Fri, 05/28/2021 , 12:00",1,"16.79811255, -91.20988585"
"Fri, 06/04/2021 , 12:00",1,"32.817824, 12.450931"
"Sun, 06/06/2021 , 12:00",1,"32.817824, 12.450931"
"Mon, 06/07/2021 , 12:00",1,"44.82494358, 15.83615663"
"Wed, 06/09/2021 , 12:00",1,"26.20468876, -98.5008908"
"Sun, 05/23/2021 , 12:00",1,"24.13731417, -15.58013699"
"Fri, 06/04/2021 , 12:00",1,"28.70601548, -100.5121682"
"Wed, 06/02/2021 , 12:00",1,"28.70601548, -100.5121682"
"Sat, 05/29/2021 , 12:00",1,"28.72383323, -100.5084339"
"Tue, 06/08/2021 , 12:00",1,"28.86035777, -100.5900667"
"Mon, 06/07/2021 , 12:00",1,"28.70601548, -100.5121682"
"Sat, 05/22/2021 , 12:00",1,"43.34206817, -1.775902345"
"Sun, 06/13/2021 , 12:00",2,"36.9389761, 11.10181266"
"Thu, 06/10/2021 , 12:00",1,"31.785267, -106.554545"
"Fri, 06/11/2021 , 12:00",1,"31.754475, -106.426"
"Sat, 06/12/2021 , 12:00",3,"20.87840169, 92.30923042"
"Sun, 06/13/2021 , 12:00",1,"20.87840169, 92.30923042"
"Mon, 06/14/2021 , 12:00",2,"20.87840169, 92.30923042"
"Thu, 06/17/2021 , 12:00",5,"29.238504, -13.442276"
"Sun, 06/13/2021 , 12:00",2,"32.99993552, 11.98125712"
"Mon, 06/14/2021 , 12:00",3,"33.04659627, 12.55254212"
"Tue, 06/15/2021 , 12:00",1,"32.817824, 12.450931"
"Sat, 06/19/2021 , 12:00",1,"32.817824, 12.450931"
"Sun, 06/06/2021 , 12:00",1,"8.463178375, -77.6973089"
"Tue, 06/08/2021 , 12:00",1,"-22.86132167, -68.09857265"
"Tue, 06/08/2021 , 12:00",1,"-22.91728654, -67.79674134"
"Wed, 06/09/2021 , 12:00",1,"27.38965142, -99.49302361"
"Thu, 06/10/2021 , 12:00",1,"7.158230103, -73.09444462"
"Tue, 06/15/2021 , 12:00",1,"-19.28209365, -68.61117155"
"Wed, 06/16/2021 , 12:00",1,"9.426195864, -83.71262203"
"Thu, 05/27/2021 , 12:00",12,"24.52014162, -81.78465844"
"Sun, 06/13/2021 , 12:00",1,"28.69871512, -100.5102039"
"Tue, 06/15/2021 , 12:00",1,"27.47874782, -99.4792803"
"Wed, 04/21/2021 , 12:00",1,"10.57512792, 49.05749537"
"Mon, 05/24/2021 , 12:00",1,"10.01320445, 49.04490709"
"Tue, 04/13/2021 , 12:00",1,"9.525310189, 45.53662268"
"Thu, 04/15/2021 , 12:00",1,"9.525310189, 45.53662268"
"Fri, 04/30/2021 , 12:00",1,"9.525310189, 45.53662268"
"Wed, 06/09/2021 , 12:00",1,"11.96414423, 43.28973237"
"Thu, 06/17/2021 , 12:00",1,"11.14202647, 42.71494991"
"Tue, 06/15/2021 , 12:00",1,"35.87049967, -5.338425807"
"Sun, 06/13/2021 , 12:00",1,"32.0884126, -107.4481688"
"Thu, 06/10/2021 , 12:00",1,"25.97777195, -97.51466326"
"Sat, 06/19/2021 , 12:00",1,"33.46233163, -112.3520941"
"Fri, 06/11/2021 , 12:00",2,"26.96045723, -79.11501934"
"Thu, 06/10/2021 , 12:00",1,"27.35501854, -99.48372901"
"Tue, 06/15/2021 , 12:00",1,"33.63174624, -7.709904705"
"Thu, 06/17/2021 , 12:00",1,"24.68244358, -14.87534885"
"Sun, 06/20/2021 , 12:00",1,"32.65816134, -115.4907367"
"Wed, 06/23/2021 , 12:00",1,"31.52076745, -104.482768"
"Wed, 02/03/2021 , 12:00",2,"32.53289729, 15.07522178"
"Wed, 02/10/2021 , 12:00",1,"32.75483468, 13.71666686"
"Thu, 06/24/2021 , 12:00",1,"27.16606866, -15.58094782"
"Mon, 06/28/2021 , 12:00",2,"27.65035716, -15.58204989"
"Sun, 06/27/2021 , 12:00",1,"26.3500742, -15.55680579"
"Tue, 06/15/2021 , 12:00",1,"41.70895577, 26.3584402"
"Sat, 05/15/2021 , 12:00",1,"33.33194008, 11.16826633"
"Sat, 05/15/2021 , 12:00",1,"33.76538163, 11.02563647"
"Sun, 06/27/2021 , 12:00",2,"33.8134549, 11.03207887"
"Mon, 01/25/2021 , 12:00",1,"36.69594666, 27.67600565"
"Sun, 06/27/2021 , 12:00",40,"26.1246968, -14.59550817"
"Sun, 06/27/2021 , 12:00",3,"37.97424245, 42.64689044"
"Sun, 06/13/2021 , 12:00",1,"32.49750617, -114.480166"
"Mon, 06/28/2021 , 12:00",1,"17.17872459, -93.57205686"
"Wed, 06/16/2021 , 12:00",1,"19.57885023, -98.31507222"
"Wed, 06/16/2021 , 12:00",1,"31.78721121, -106.5457835"
"Wed, 06/16/2021 , 12:00",1,"31.80675321, -106.6199581"
"Tue, 06/29/2021 , 12:00",18,"28.127946, -13.872245"
"Sun, 06/27/2021 , 12:00",1,"30.52044183, -104.8739003"
"Tue, 06/29/2021 , 12:00",1,"19.41460771, -98.13470713"
"Sat, 06/19/2021 , 12:00",1,"17.92067186, -94.9330168"
"Wed, 06/30/2021 , 12:00",16,"35.42625723, 12.60431809"
"Sun, 03/28/2021 , 12:00",1,"36.317706, 0.635233"
"Thu, 04/08/2021 , 12:00",5,"36.02829422, 0.055382178"
"Fri, 06/25/2021 , 12:00",24,"21.28937362, 0.999485158"
"Mon, 05/24/2021 , 12:00",1,"24.13731417, -15.58013699"
"Wed, 06/30/2021 , 12:00",3,"34.88019519, 10.67235167"
"Thu, 07/01/2021 , 12:00",5,"34.88019519, 10.67235167"
"Sun, 07/04/2021 , 12:00",3,"34.79575492, 10.85210783"
"Sat, 07/03/2021 , 12:00",3,"35.08259488, 10.99725328"
"Thu, 06/24/2021 , 12:00",1,"32.817824, 12.450931"
"Sat, 06/26/2021 , 12:00",1,"32.94011015, 12.08667864"
"Sat, 06/19/2021 , 12:00",71,"23.73506553, -16.0541794"
"Sun, 04/04/2021 , 12:00",8,"37.0120503, 8.353369971"
"Sun, 05/23/2021 , 12:00",11,"38.61598542, 2.302087261"
"Wed, 06/30/2021 , 12:00",2,"45.526681, 14.920106"
"Mon, 06/28/2021 , 12:00",22,"34.87695, 11.15669"
"Sat, 07/03/2021 , 12:00",1,"35.733824, -0.85511"
"Wed, 07/07/2021 , 12:00",8,"36.55367, 1.123668"
"Sun, 07/11/2021 , 12:00",11,"38.99725095, 43.75997909"
"Wed, 06/30/2021 , 12:00",1,"32.60582, -116.81832"
"Sun, 06/20/2021 , 12:00",7,"18.46615079, -83.56022847"
"Tue, 01/05/2021 , 12:00",1,"31.43222381, -109.8928271"
"Tue, 01/05/2021 , 12:00",1,"31.43222381, -109.8928271"
"Thu, 01/07/2021 , 12:00",1,"31.692633, -111.8142"
"Sun, 01/10/2021 , 12:00",1,"31.68276, -110.864752"
"Mon, 01/11/2021 , 12:00",1,"32.51472, -111.8303"
"Mon, 01/11/2021 , 12:00",1,"31.83375, -112.3743"
"Mon, 01/11/2021 , 12:00",1,"32.542332, -112.343452"
"Wed, 01/13/2021 , 12:00",1,"31.78536, -111.83111"
"Fri, 01/15/2021 , 12:00",1,"31.33415, -110.11293"
"Sat, 01/16/2021 , 12:00",1,"31.977452, -112.68819"
"Tue, 01/19/2021 , 12:00",1,"31.963194, -112.16075"
"Sat, 01/23/2021 , 12:00",1,"31.648472, -111.257167"
"Sun, 01/24/2021 , 12:00",1,"31.463389, -109.076444"
"Mon, 01/25/2021 , 12:00",1,"32.131, -113.237833"
"Thu, 01/28/2021 , 12:00",1,"31.71416, -111.95791"
"Thu, 01/28/2021 , 12:00",1,"31.70588, -112.00148"
"Thu, 02/04/2021 , 12:00",1,"31.71066, -111.86906"
"Fri, 02/05/2021 , 12:00",1,"31.84175, -112.4437"
"Sun, 02/07/2021 , 12:00",1,"31.389361, -111.230389"
"Mon, 02/08/2021 , 12:00",1,"31.73563, -111.8275"
"Tue, 02/09/2021 , 12:00",1,"31.9543, -112.4197"
"Wed, 02/10/2021 , 12:00",1,"32.15258, -112.74925"
"Mon, 02/15/2021 , 12:00",1,"31.914444, -111.913611"
"Tue, 02/16/2021 , 12:00",1,"31.9120215, -111.881234"
"Thu, 02/18/2021 , 12:00",1,"31.78605, -111.811683"
"Sun, 02/21/2021 , 12:00",1,"32.22524, -113.04953"
"Sun, 02/21/2021 , 12:00",1,"32.22536, -113.04941"
"Sun, 02/21/2021 , 12:00",1,"31.900498, -111.532852"
"Tue, 02/23/2021 , 12:00",1,"31.66905, -111.846417"
"Wed, 02/24/2021 , 12:00",1,"32.1195, -113.1718"
"Wed, 03/03/2021 , 12:00",1,"32.199638, -113.021598"
"Fri, 03/05/2021 , 12:00",1,"31.84108, -111.84243"
"Mon, 03/08/2021 , 12:00",1,"31.334239, -110.952825"
"Sun, 03/14/2021 , 12:00",1,"32.09297, -112.96256"
"Sat, 03/13/2021 , 12:00",1,"32.178633, -113.058867"
"Sat, 03/13/2021 , 12:00",1,"32.2429, -113.0754"
"Sat, 03/13/2021 , 12:00",1,"32.184896, -113.064156"
"Sun, 03/14/2021 , 12:00",1,"31.78797, -111.74756"
"Sat, 03/13/2021 , 12:00",1,"32.224496, -113.0785575"
"Sun, 03/14/2021 , 12:00",1,"32.125633, -113.238767"
"Sun, 03/14/2021 , 12:00",1,"32.122583, -113.238833"
"Tue, 03/16/2021 , 12:00",1,"31.72159, -112.19422"
"Fri, 03/19/2021 , 12:00",1,"31.97162, -111.48003"
"Sat, 03/20/2021 , 12:00",1,"32.418681, -112.969283"
"Fri, 03/26/2021 , 12:00",1,"32.25953, -111.5175"
"Sat, 03/27/2021 , 12:00",1,"32.22372762, -110.857911"
"Sun, 03/28/2021 , 12:00",1,"31.99153, -112.6947"
"Tue, 03/30/2021 , 12:00",1,"31.6951, -111.998"
"Tue, 03/30/2021 , 12:00",1,"31.69123, -111.88143"
"Mon, 04/05/2021 , 12:00",1,"31.8663889, -112.4402777"
"Tue, 04/06/2021 , 12:00",1,"31.855917, -112.113467"
"Tue, 04/06/2021 , 12:00",1,"31.722883, -111.805533"
"Thu, 04/15/2021 , 12:00",1,"31.685517, -111.776332"
"Thu, 04/15/2021 , 12:00",1,"31.42974319, -110.9780321"
"Thu, 04/15/2021 , 12:00",1,"32.44706, -113.10175"
"Fri, 04/16/2021 , 12:00",1,"31.3327, -110.99101"
"Fri, 07/02/2021 , 12:00",2,"32.79305271, 12.72579484"
"Fri, 07/02/2021 , 12:00",6,"32.94011015, 12.08667864"
"Fri, 07/02/2021 , 12:00",8,"32.79305271, 12.72579484"
"Fri, 07/02/2021 , 12:00",4,"32.79305271, 12.72579484"
"Sun, 07/04/2021 , 12:00",7,"32.79305271, 12.72579484"
"Sun, 07/04/2021 , 12:00",6,"32.79305271, 12.72579484"
"Mon, 07/05/2021 , 12:00",2,"32.94011015, 12.08667864"
"Thu, 04/22/2021 , 12:00",1,"31.885772, -111.96678"
"Sun, 04/25/2021 , 12:00",1,"31.885772, -111.96678"
"Mon, 04/26/2021 , 12:00",1,"32.14593, -113.16837"
"Tue, 04/27/2021 , 12:00",1,"32.03135067, -111.2738148"
"Wed, 04/28/2021 , 12:00",1,"31.680719, -111.083965"
"Fri, 04/30/2021 , 12:00",1,"32.036652, -113.094207"
"Sun, 05/02/2021 , 12:00",1,"32.0014, -112.170333"
"Mon, 05/03/2021 , 12:00",1,"31.4814, -109.333"
"Thu, 05/06/2021 , 12:00",1,"32.405767, -111.682017"
"Fri, 05/07/2021 , 12:00",1,"32.406471, -111.88266"
"Tue, 05/04/2021 , 12:00",1,"31.90148, -112.45955"
"Tue, 05/11/2021 , 12:00",1,"31.35874, -109.73311"
"Thu, 05/13/2021 , 12:00",1,"31.34606, -110.91251"
"Fri, 05/14/2021 , 12:00",1,"31.939967, -112.144067"
"Sat, 05/15/2021 , 12:00",1,"31.93468, -112.89613"
"Sat, 05/15/2021 , 12:00",1,"31.4640917, -111.04191"
"Tue, 05/18/2021 , 12:00",1,"32.30748, -113.25067"
"Tue, 05/18/2021 , 12:00",2,"32.31397, -113.252225"
"Wed, 05/19/2021 , 12:00",1,"31.3420069, -109.6304977"
"Sat, 05/22/2021 , 12:00",1,"32.20252803, -111.7138504"
"Thu, 05/27/2021 , 12:00",1,"32.352205, -113.3156345"
"Thu, 05/27/2021 , 12:00",1,"32.32535, -113.2892805"
"Fri, 05/28/2021 , 12:00",1,"32.02243503, -110.994575"
"Fri, 06/04/2021 , 12:00",1,"27.127334, -98.389507"
"Sat, 07/17/2021 , 12:00",1,"26.03362, -97.742664"
"Wed, 07/21/2021 , 12:00",18,"33.51423538, 11.12653239"
"Sat, 07/03/2021 , 12:00",12,"35.25755668, -3.909738195"
"Sat, 07/03/2021 , 12:00",37,"33.51423538, 11.12653239"
"Sat, 07/03/2021 , 12:00",2,"33.51423538, 11.12653239"
"Wed, 06/30/2021 , 12:00",10,"34.71990251, 10.79592473"
"Sat, 07/03/2021 , 12:00",14,"34.71990251, 10.79592473"
"Sun, 07/04/2021 , 12:00",4,"34.71990251, 10.79592473"
"Sun, 07/04/2021 , 12:00",21,"34.71990251, 10.79592473"
"Mon, 07/05/2021 , 12:00",21,"34.71990251, 10.79592473"
"Sat, 07/10/2021 , 12:00",8,"34.71990251, 10.79592473"
"Mon, 06/14/2021 , 12:00",30,"12.60917091, 43.93431565"
"Wed, 07/14/2021 , 12:00",3,"34.74008415, 13.08897064"
"Sun, 07/18/2021 , 12:00",1,"28.14665169, -13.37244008"
"Thu, 07/22/2021 , 12:00",5,"34.86631825, 27.1632598"
"Thu, 07/22/2021 , 12:00",3,"34.86631825, 27.1632598"
"Mon, 07/26/2021 , 12:00",53,"32.66494504, 14.27642337"
"Mon, 07/26/2021 , 12:00",3,"32.66494504, 14.27642337"
"Mon, 07/26/2021 , 12:00",1,"32.66494504, 14.27642337"
"Mon, 07/26/2021 , 12:00",1,"31.748986, -106.482543"
"Fri, 07/23/2021 , 12:00",1,"44.356577, 16.376229"
"Sat, 07/24/2021 , 12:00",2,"35.34293052, 11.34521001"
"Wed, 07/28/2021 , 12:00",3,"35.23541224, 11.15850388"
"Wed, 07/28/2021 , 12:00",5,"35.342159, 11.18454915"
"Sun, 07/25/2021 , 12:00",1,"32.547702, -116.980396"
"Mon, 07/26/2021 , 12:00",1,"31.781506, -106.527882"
"Thu, 06/03/2021 , 12:00",1,"26.931274, -98.145864"
"Tue, 05/18/2021 , 12:00",1,"27.156479, -98.191523"
"Fri, 07/30/2021 , 12:00",3,"38.72745572, 26.2952878"
"Sun, 07/04/2021 , 12:00",1,"11.3092574, 42.92740692"
"Sat, 06/12/2021 , 12:00",1,"8.397944801, 47.93776988"
"Tue, 06/29/2021 , 12:00",1,"45.03109, 16.35569"
"Mon, 07/19/2021 , 12:00",1,"11.3092574, 42.92740692"
"Tue, 06/15/2021 , 12:00",1,"44.68659195, 16.07802428"
"Tue, 07/06/2021 , 12:00",1,"41.24895894, 26.35655359"
"Mon, 07/19/2021 , 12:00",10,"21.95157798, 6.763302221"
"Thu, 07/01/2021 , 12:00",1,"28.31588041, -100.3774898"
"Thu, 07/01/2021 , 12:00",1,"19.2683361, -68.63540398"
"Fri, 07/02/2021 , 12:00",1,"27.50327832, -99.52799411"
"Sun, 07/04/2021 , 12:00",3,"4.212583373, -74.99532582"
"Tue, 07/06/2021 , 12:00",1,"32.61612324, -115.8408434"
"Mon, 07/05/2021 , 12:00",9,"24.279929, -81.5048832"
"Sat, 07/10/2021 , 12:00",1,"26.40729886, -99.04754947"
"Sun, 07/11/2021 , 12:00",1,"19.17897262, -97.90315729"
"Tue, 04/13/2021 , 12:00",1,"27.49945981, -99.51176313"
"Sun, 06/13/2021 , 12:00",1,"32.45678168, -114.5297033"
"Wed, 06/16/2021 , 12:00",1,"25.89925589, -97.49857221"
"Fri, 07/16/2021 , 12:00",1,"11.01191444, -74.81761458"
"Sun, 06/20/2021 , 12:00",1,"18.11252672, -95.45622108"
"Tue, 06/22/2021 , 12:00",2,"29.23247989, -100.1366453"
"Tue, 06/22/2021 , 12:00",15,"9.038525113, -76.33946531"
"Thu, 07/22/2021 , 12:00",1,"28.51079403, -99.91022804"
"Sat, 06/19/2021 , 12:00",1,"26.0987163, -98.27847646"
"Fri, 07/23/2021 , 12:00",1,"29.2631881, -99.84738576"
"Fri, 07/23/2021 , 12:00",1,"11.51977308, -72.8986871"
"Thu, 06/24/2021 , 12:00",1,"29.36995037, -101.0726338"
"Thu, 06/24/2021 , 12:00",1,"31.69140966, -106.4265637"
"Mon, 07/26/2021 , 12:00",1,"27.49981976, -99.50114439"
"Mon, 07/26/2021 , 12:00",2,"26.22189127, -98.45438095"
"Sat, 03/27/2021 , 12:00",1,"15.66661553, -91.99639232"
"Tue, 07/27/2021 , 12:00",1,"32.55042921, -116.9361241"
"Tue, 07/27/2021 , 12:00",1,"31.77578307, -106.4644307"
"Wed, 07/28/2021 , 12:00",1,"28.67780738, -100.5309605"
"Wed, 06/30/2021 , 12:00",1,"32.59735134, -116.7849622"
"Sun, 08/01/2021 , 12:00",1,"14.865967, -92.310651"
"Sat, 07/31/2021 , 12:00",1,"27.491216, -97.84983"
"Sun, 08/01/2021 , 12:00",1,"32.468858, -114.579342"
"Mon, 08/02/2021 , 12:00",12,"35.0280963, 11.00838643"
"Wed, 08/04/2021 , 12:00",4,"41.27689, 26.67407"
"Wed, 08/04/2021 , 12:00",3,"26.93791, -98.13787"
"Wed, 08/04/2021 , 12:00",1,"26.93791, -98.13787"
"Wed, 08/04/2021 , 12:00",6,"26.93791, -98.13787"
"Sat, 07/03/2021 , 12:00",1,"39.4519, -0.09907"
"Sat, 07/24/2021 , 12:00",1,"35.90097, -5.29781"
"Wed, 07/21/2021 , 12:00",1,"35.87601, -5.33416"
"Fri, 07/23/2021 , 12:00",1,"35.87667, -5.33532"
"Mon, 08/09/2021 , 12:00",3,"32.64174, -111.38443"
"Fri, 08/06/2021 , 12:00",1,"26.37642, -98.85824"
"Mon, 08/02/2021 , 12:00",1,"28.50998, -100.32759"
"Fri, 07/23/2021 , 12:00",1,"32.20058324, -110.9037255"
"Sun, 04/25/2021 , 12:00",1,"29.42595636, -98.52277691"
"Mon, 06/07/2021 , 12:00",1,"31.57152368, -111.3711987"
"Sat, 06/26/2021 , 12:00",1,"32.65485255, -116.2463698"
"Fri, 06/25/2021 , 12:00",1,"32.20058324, -110.9037255"
"Wed, 06/23/2021 , 12:00",2,"28.94451373, -100.3304508"
"Fri, 06/11/2021 , 12:00",1,"34.298, 11.457"
"Wed, 06/23/2021 , 12:00",2,"27.5236535, -99.51220273"
"Fri, 06/25/2021 , 12:00",1,"27.5236535, -99.51220273"
"Sun, 08/08/2021 , 12:00",1,"43.342171, -1.771777"
"Wed, 08/04/2021 , 12:00",1,"27.00871835, -98.21819255"
"Thu, 08/05/2021 , 12:00",1,"16.24278829, -92.34873761"
"Thu, 07/08/2021 , 12:00",20,"18.33941698, -68.94225284"
"Wed, 07/28/2021 , 12:00",12,"18.72080052, -68.04710198"
"Mon, 08/02/2021 , 12:00",1,"0.814798535, -77.66457573"
"Fri, 07/30/2021 , 12:00",1,"0.923706344, -77.72794854"
"Tue, 07/20/2021 , 12:00",1,"31.94160047, -113.0617515"
"Sat, 07/31/2021 , 12:00",1,"25.34821715, -102.8544973"
"Tue, 08/03/2021 , 12:00",2,"14.87556229, -92.30682011"
"Thu, 08/12/2021 , 12:00",13,"22.51527112, -18.39395041"
"Wed, 08/11/2021 , 12:00",6,"33.7446278, 7.598138815"
"Mon, 08/09/2021 , 12:00",3,"27.96042791, -13.01695937"
"Mon, 08/09/2021 , 12:00",15,"27.96042791, -13.01695937"
"Tue, 08/10/2021 , 12:00",14,"23.14306165, -18.1522512"
"Thu, 08/05/2021 , 12:00",42,"23.74187646, -15.93733694"
"Sun, 08/15/2021 , 12:00",47,"20.093743, -17.617094"
"Thu, 08/12/2021 , 12:00",1,"51.10719891, 2.006317652"
"Thu, 08/12/2021 , 12:00",1,"28.2610827, -97.28283767"
"Sun, 02/07/2021 , 12:00",2,"33.01514348, 12.60631099"
"Sat, 07/31/2021 , 12:00",1,"33.01514348, 12.60631099"
"Thu, 02/04/2021 , 12:00",2,"33.01514348, 12.60631099"
"Wed, 02/10/2021 , 12:00",4,"32.75483468, 13.71666686"
"Thu, 02/18/2021 , 12:00",1,"33.01514348, 12.60631099"
"Tue, 07/06/2021 , 12:00",1,"32.796617, 12.752589"
"Sat, 07/17/2021 , 12:00",1,"32.83925342, 13.00863512"
"Fri, 07/23/2021 , 12:00",1,"32.88184699, 13.10811084"
"Thu, 07/29/2021 , 12:00",1,"32.66494504, 14.27642337"
"Wed, 08/11/2021 , 12:00",1,"12.38754931, 43.34358371"
"Wed, 08/11/2021 , 12:00",1,"26.46599024, -98.15655782"
"Mon, 08/09/2021 , 12:00",1,"8.373099752, -77.78005398"
"Sun, 07/18/2021 , 12:00",1,"7.906213174, -72.49843797"
"Sat, 08/07/2021 , 12:00",1,"26.37605154, -98.82241169"
"Sat, 08/07/2021 , 12:00",1,"14.89881277, -92.26885475"
"Thu, 08/19/2021 , 12:00",52,"25.553523, -15.591832"
"Mon, 08/16/2021 , 12:00",3,"34.56611006, 69.21110283"
"Mon, 08/16/2021 , 12:00",1,"34.56611006, 69.21110283"
"Mon, 08/16/2021 , 12:00",2,"34.56611006, 69.21110283"
"Mon, 08/16/2021 , 12:00",1,"34.56611006, 69.21110283"
"Sat, 08/14/2021 , 12:00",22,"22.36728953, 91.56243922"
"Thu, 08/19/2021 , 12:00",3,"13.9320984, 102.7314177"
"Sun, 08/15/2021 , 12:00",1,"22.50184402, -89.73528634"
"Wed, 07/14/2021 , 12:00",1,"24.79530743, 34.50681773"
"Fri, 08/06/2021 , 12:00",7,"31.09968359, 21.41265403"
"Sun, 08/15/2021 , 12:00",0,"28.60508642, 15.76760457"
"Sun, 08/15/2021 , 12:00",0,"28.60508642, 15.76760457"
"Fri, 08/20/2021 , 12:00",5,"28.43185142, 15.47829084"
"Fri, 08/20/2021 , 12:00",3,"28.43185142, 15.47829084"
"Mon, 08/23/2021 , 12:00",13,"33.42943388, 12.06490843"
"Mon, 08/23/2021 , 12:00",2,"33.42943388, 12.06490843"
"Mon, 08/23/2021 , 12:00",1,"33.42943388, 12.06490843"
"Mon, 08/23/2021 , 12:00",1,"33.42943388, 12.06490843"
"Mon, 08/23/2021 , 12:00",1,"32.75483468, 13.71666686"
"Sat, 08/21/2021 , 12:00",1,"37.99539709, 12.32134935"
"Sat, 08/07/2021 , 12:00",8,"32.85868201, 12.2449859"
"Sun, 08/22/2021 , 12:00",1,"27.60593193, -14.09434798"
"Wed, 08/18/2021 , 12:00",1,"53.3853869, -1.461051509"
"Sat, 08/14/2021 , 12:00",1,"3.465696606, -76.52190059"
"Mon, 08/09/2021 , 12:00",1,"7.403576138, -79.55944378"
"Sat, 08/14/2021 , 12:00",1,"3.155459107, -76.27819571"
"Tue, 08/10/2021 , 12:00",1,"31.9174752, -106.1672751"
"Tue, 08/17/2021 , 12:00",1,"20.25411641, -99.65827089"
"Fri, 08/13/2021 , 12:00",1,"31.78041958, -106.5499374"
"Fri, 08/13/2021 , 12:00",5,"31.72472612, -106.4826913"
"Fri, 08/13/2021 , 12:00",1,"31.72472612, -106.4826913"
"Wed, 08/04/2021 , 12:00",1,"54.26406629, 25.35429945"
"Sun, 07/11/2021 , 12:00",12,"32.85868201, 12.2449859"
"Sun, 07/11/2021 , 12:00",3,"32.85868201, 12.2449859"
"Sun, 07/11/2021 , 12:00",2,"32.85868201, 12.2449859"
"Mon, 08/23/2021 , 12:00",2,"32.85868201, 12.2449859"
"Wed, 08/25/2021 , 12:00",11,"29.06973659, -13.92888709"
"Thu, 08/12/2021 , 12:00",1,"32.4109064, -106.8592632"
"Thu, 08/19/2021 , 12:00",1,"32.54940206, -114.7907489"
"Sat, 08/21/2021 , 12:00",1,"26.09821363, -98.27543458"
"Sun, 08/22/2021 , 12:00",1,"27.52191909, -99.52628485"
"Thu, 08/19/2021 , 12:00",2,"28.71240893, -100.5104065"
"Thu, 08/19/2021 , 12:00",2,"28.69539491, -100.5093765"
"Wed, 08/25/2021 , 12:00",1,"32.85868201, 12.2449859"
"Wed, 08/25/2021 , 12:00",1,"32.75483468, 13.71666686"
"Fri, 08/20/2021 , 12:00",2,"23.84772302, 15.99563744"
"Thu, 07/01/2021 , 12:00",11,"36.6131885, 2.189831228"
"Sun, 08/01/2021 , 12:00",2,"36.64611797, 2.208953218"
"Fri, 08/06/2021 , 12:00",1,"36.6019598, 2.159484877"
"Thu, 08/12/2021 , 12:00",1,"36.61983828, 2.230056864"
"Thu, 08/12/2021 , 12:00",12,"36.6131885, 2.189831228"
"Wed, 08/25/2021 , 12:00",7,"32.85868201, 12.2449859"
"Thu, 08/26/2021 , 12:00",4,"32.817824, 12.450931"
"Thu, 08/26/2021 , 12:00",12,"33.42943388, 12.06490843"
"Fri, 08/27/2021 , 12:00",4,"33.99768329, 12.64107702"
"Fri, 08/27/2021 , 12:00",1,"32.79304584, 12.60424023"
"Fri, 08/13/2021 , 12:00",3,"35.96702242, 0.071543749"
"Fri, 08/27/2021 , 12:00",24,"23.353795, -19.689307"
"Fri, 08/27/2021 , 12:00",4,"23.353795, -19.689307"
"Fri, 08/27/2021 , 12:00",1,"23.353795, -19.689307"
"Fri, 08/27/2021 , 12:00",38,"15.959663, -16.84154"
"Wed, 08/25/2021 , 12:00",1,"35.78508672, -5.348679289"
"Fri, 08/27/2021 , 12:00",1,"35.81506138, 5.351325781"
"Fri, 08/27/2021 , 12:00",1,"35.915393, -5.314667"
