Incident Date,Total Number of Dead and Missing,Coordinates
"Sat, 08/28/2021 , 12:00",18,"30.41972831, 10.56102432"
"Wed, 08/25/2021 , 12:00",1,"35.876253, -5.32524"
"Tue, 08/24/2021 , 12:00",2,"41.254758, 26.331585"
"Tue, 08/24/2021 , 12:00",1,"41.254758, 26.331585"
"Sun, 06/06/2021 , 12:00",1,"35.23669182, -3.92228062"
"Tue, 08/31/2021 , 12:00",11,"28.085275, -13.853222"
"Sat, 08/28/2021 , 12:00",1,"41.340419, 26.621926"
"Mon, 08/30/2021 , 12:00",3,"41.333634, 26.608672"
"Wed, 06/30/2021 , 12:00",17,"36.03409952, 0.023477819"
"Fri, 08/13/2021 , 12:00",10,"36.77001041, 3.469499215"
"Thu, 08/19/2021 , 12:00",1,"11.96414423, 43.28973237"
"Fri, 08/27/2021 , 12:00",1,"11.96414423, 43.28973237"
"Tue, 07/27/2021 , 12:00",1,"36.46086089, 0.602893465"
"Fri, 03/05/2021 , 12:00",3,"28.00204958, 12.93936308"
"Wed, 08/25/2021 , 12:00",1,"46.105723, 19.599011"
"Thu, 09/02/2021 , 12:00",1,"35.870894, -5.342543"
"Sat, 08/28/2021 , 12:00",6,"32.26128403, 22.66336716"
"Thu, 09/02/2021 , 12:00",2,"51.96406396, 21.01384333"
"Fri, 09/03/2021 , 12:00",1,"27.49942429, -99.49905339"
"Fri, 08/27/2021 , 12:00",1,"26.29722611, -98.61748442"
"Thu, 09/02/2021 , 12:00",1,"31.05035663, -104.9682547"
"Fri, 08/13/2021 , 12:00",2,"35.23338838, 11.19573032"
"Wed, 09/08/2021 , 12:00",1,"32.92244735, 12.43632908"
"Sun, 08/15/2021 , 12:00",5,"19.84268335, 0.79527669"
"Wed, 06/02/2021 , 12:00",52,"27.93347104, -13.20495642"
"Fri, 06/04/2021 , 12:00",17,"27.93347104, -13.20495642"
"Wed, 08/11/2021 , 12:00",1,"35.30057238, -2.94178006"
"Thu, 09/02/2021 , 12:00",1,"35.88328026, 0.30553089"
"Wed, 09/08/2021 , 12:00",2,"34.7719507, 11.0345329"
"Mon, 07/12/2021 , 12:00",16,"26.1141318, -14.50875258"
"Tue, 08/31/2021 , 12:00",76,"22.11104711, 16.75183311"
"Tue, 08/31/2021 , 12:00",5,"22.11104711, 16.75183311"
"Tue, 08/31/2021 , 12:00",5,"22.11104711, 16.75183311"
"Sat, 08/14/2021 , 12:00",1,"36.7025268, 10.95407552"
"Tue, 09/14/2021 , 12:00",8,"34.69520695, 10.76090543"
"Thu, 09/02/2021 , 12:00",4,"30.95548799, 66.43793571"
"Fri, 09/17/2021 , 12:00",1,"46.4125556, 16.01967708"
"Fri, 08/27/2021 , 12:00",167,"34.56611006, 69.21110283"
"Sun, 08/22/2021 , 12:00",1,"19.26628699, -68.65004072"
"Thu, 08/19/2021 , 12:00",1,"28.68442976, -100.5086449"
"Mon, 08/23/2021 , 12:00",1,"27.48487755, -99.48012225"
"Sat, 08/21/2021 , 12:00",1,"26.10671821, -98.26867505"
"Sat, 05/15/2021 , 12:00",1,"32.70290613, -114.6899039"
"Thu, 08/26/2021 , 12:00",1,"17.96096906, -67.10421332"
"Sat, 08/28/2021 , 12:00",3,"25.61190632, -80.15873385"
"Sun, 07/25/2021 , 12:00",2,"27.36813494, -99.50095608"
"Sat, 08/21/2021 , 12:00",2,"32.78876975, -114.4240425"
"Sun, 08/29/2021 , 12:00",1,"32.0666324, -109.001623"
"Tue, 07/06/2021 , 12:00",2,"18.11522379, -70.31819296"
"Wed, 09/01/2021 , 12:00",1,"28.52618709, -99.85643843"
"Wed, 08/18/2021 , 12:00",1,"28.72236965, -100.516232"
"Sat, 08/28/2021 , 12:00",1,"31.83744206, -112.7639748"
"Mon, 09/06/2021 , 12:00",1,"29.1789173, -99.84701076"
"Tue, 09/07/2021 , 12:00",1,"25.88122824, -97.49266183"
"Sun, 08/29/2021 , 12:00",1,"28.48411159, -100.3103166"
"Wed, 09/08/2021 , 12:00",1,"28.32311434, -100.3053812"
"Sat, 09/04/2021 , 12:00",1,"8.421518484, -76.77170931"
"Mon, 09/13/2021 , 12:00",1,"19.27555673, -68.64949272"
"Sat, 09/04/2021 , 12:00",2,"8.421518484, -76.77170931"
"Fri, 09/03/2021 , 12:00",1,"32.6715071, -115.4086633"
"Tue, 09/07/2021 , 12:00",1,"27.16301763, -98.15002754"
"Sun, 09/12/2021 , 12:00",1,"18.66941056, -96.80619775"
"Fri, 09/10/2021 , 12:00",1,"31.33100254, -110.9995664"
"Mon, 07/26/2021 , 12:00",1,"27.59081032, -101.3810119"
"Thu, 06/17/2021 , 12:00",1,"19.60223231, -98.13436917"
"Mon, 09/13/2021 , 12:00",1,"17.88790637, -94.10003215"
"Mon, 09/13/2021 , 12:00",1,"27.17189336, -98.13619776"
"Sun, 09/19/2021 , 12:00",1,"53.510074, 23.659591"
"Sun, 09/19/2021 , 12:00",1,"53.83423019, 23.55305731"
"Sun, 08/29/2021 , 12:00",1,"43.79455788, 7.587981798"
"Mon, 09/20/2021 , 12:00",1,"33.18878453, 12.23894118"
"Fri, 09/17/2021 , 12:00",14,"36.82881526, 3.620209155"
"Sun, 09/19/2021 , 12:00",1,"36.95349419, -1.898563152"
"Mon, 09/20/2021 , 12:00",1,"37.17897533, -1.820605746"
"Mon, 09/20/2021 , 12:00",2,"37.20507909, -1.809776859"
"Tue, 09/21/2021 , 12:00",1,"37.02786727, -1.878227918"
"Tue, 09/21/2021 , 12:00",1,"37.10111108, -1.845793503"
"Tue, 09/21/2021 , 12:00",1,"37.0805528, -1.849939099"
"Tue, 09/21/2021 , 12:00",1,"37.00289911, -1.889138032"
"Tue, 08/31/2021 , 12:00",1,"25.59954102, -99.99604217"
"Thu, 09/23/2021 , 12:00",1,"53.67257467, 23.4949234"
"Sat, 09/25/2021 , 12:00",14,"21.35061686, 23.54838468"
"Mon, 09/13/2021 , 12:00",1,"37.00136043, -1.889019232"
"Wed, 07/14/2021 , 12:00",1,"27.63791754, -15.70822938"
"Mon, 08/30/2021 , 12:00",1,"41.68840291, 26.43975126"
"Mon, 09/13/2021 , 12:00",1,"41.68840291, 26.43975126"
"Wed, 09/22/2021 , 12:00",1,"41.68840291, 26.43975126"
"Tue, 09/28/2021 , 12:00",1,"50.953385, 1.944394"
"Tue, 09/28/2021 , 12:00",1,"46.1055958, 20.261083"
"Tue, 09/14/2021 , 12:00",2,"37.8681166, 27.25702288"
"Tue, 09/28/2021 , 12:00",1,"31.608292, 25.04876311"
"Thu, 09/30/2021 , 12:00",57,"23.94619731, -15.85483798"
"Sat, 10/02/2021 , 12:00",39,"32.8108283, 12.6303472"
"Sat, 10/02/2021 , 12:00",2,"32.8108283, 12.6303472"
"Mon, 09/27/2021 , 12:00",4,"23.45300865, 23.31333329"
"Fri, 10/01/2021 , 12:00",3,"33.72014304, 10.99854839"
"Fri, 10/01/2021 , 12:00",1,"32.79680229, 12.5727577"
"Mon, 09/20/2021 , 12:00",1,"11.30897542, 42.92694215"
"Thu, 09/23/2021 , 12:00",1,"11.10622088, 42.37198843"
"Wed, 09/29/2021 , 12:00",1,"43.83854273, 18.25894372"
"Fri, 09/10/2021 , 12:00",1,"43.87782191, 18.31320921"
"Wed, 01/27/2021 , 12:00",1,"7.927093887, -72.48386771"
"Mon, 09/13/2021 , 12:00",1,"29.32800076, -100.9305296"
"Mon, 10/04/2021 , 12:00",3,"39.16748918, 2.928229486"
"Thu, 10/07/2021 , 12:00",2,"21.098765, -17.533666"
"Mon, 09/20/2021 , 12:00",1,"28.51515365, -99.93694979"
"Fri, 10/08/2021 , 12:00",10,"26.332868, -15.625305"
"Sat, 10/09/2021 , 12:00",6,"32.84714274, 13.09796326"
"Wed, 10/06/2021 , 12:00",2,"2.749127, 101.442773"
"Tue, 09/21/2021 , 12:00",2,"7.818407903, -72.45051915"
"Fri, 09/24/2021 , 12:00",1,"26.37700292, -98.85966871"
"Sun, 09/19/2021 , 12:00",1,"8.662830635, -77.4515264"
"Sat, 09/18/2021 , 12:00",1,"32.24412859, -107.7514501"
"Wed, 09/22/2021 , 12:00",1,"29.1867619, -100.7660806"
"Sat, 09/25/2021 , 12:00",3,"28.95496316, -99.84974059"
"Wed, 09/22/2021 , 12:00",1,"27.49873766, -99.49971963"
"Sun, 08/29/2021 , 12:00",1,"31.91070632, -112.8477302"
"Mon, 09/20/2021 , 12:00",1,"27.53314626, -99.47857279"
"Thu, 09/30/2021 , 12:00",1,"27.12549763, -98.23087679"
"Sun, 09/26/2021 , 12:00",1,"32.66768159, -115.4576052"
"Sat, 10/02/2021 , 12:00",1,"17.87144182, -94.08377362"
"Sat, 09/25/2021 , 12:00",1,"25.81067336, -99.18644184"
"Tue, 09/21/2021 , 12:00",1,"29.23079891, -100.7982574"
"Sun, 09/19/2021 , 12:00",1,"14.90552517, -92.27643836"
"Sat, 10/09/2021 , 12:00",1,"14.89209249, -92.27164504"
"Fri, 08/27/2021 , 12:00",1,"14.84828171, -92.26758108"
"Fri, 08/27/2021 , 12:00",1,"14.88270192, -92.27015248"
"Thu, 09/23/2021 , 12:00",1,"14.88847072, -92.2415665"
"Thu, 09/16/2021 , 12:00",1,"17.81849621, -93.38702213"
"Sat, 09/18/2021 , 12:00",1,"14.67595994, -92.15780891"
"Wed, 09/22/2021 , 12:00",4,"18.38365176, -95.89020485"
"Sat, 09/11/2021 , 12:00",1,"7.834481503, -72.52091326"
"Wed, 09/22/2021 , 12:00",1,"2.111220199, -76.99031747"
"Fri, 09/24/2021 , 12:00",9,"8.373604577, -77.65411602"
"Tue, 09/28/2021 , 12:00",3,"8.373604577, -77.65411602"
"Mon, 09/27/2021 , 12:00",1,"8.42559721, -76.78843371"
"Thu, 09/23/2021 , 12:00",1,"20.24648794, -99.65855382"
"Mon, 10/11/2021 , 12:00",6,"33.72408, 12.292263"
"Mon, 10/11/2021 , 12:00",9,"33.72408, 12.292263"
"Mon, 10/11/2021 , 12:00",1,"8.937251, -77.212958"
"Mon, 10/11/2021 , 12:00",2,"8.937251, -77.212958"
"Mon, 10/11/2021 , 12:00",6,"8.937251, -77.212958"
"Sat, 10/02/2021 , 12:00",1,"35.91312057, -5.35552497"
"Thu, 04/08/2021 , 12:00",1,"31.78128444, -106.5372266"
"Sat, 09/11/2021 , 12:00",23,"18.40094006, -68.98329662"
"Wed, 03/10/2021 , 12:00",2,"41.659628, 26.485935"
"Wed, 03/10/2021 , 12:00",1,"41.659628, 26.485935"
"Wed, 09/08/2021 , 12:00",1,"41.287468, 26.463655"
"Tue, 10/12/2021 , 12:00",3,"43.38111137, -1.667733057"
"Tue, 10/05/2021 , 12:00",1,"27.247328, -98.126699"
"Wed, 06/30/2021 , 12:00",13,"27.247328, -98.126699"
"Mon, 05/31/2021 , 12:00",34,"27.247328, -98.126699"
"Fri, 10/01/2021 , 12:00",43,"27.247328, -98.126699"
"Sun, 08/15/2021 , 12:00",37,"27.53180696, -99.43051646"
"Sun, 07/11/2021 , 12:00",6,"40.12453287, -102.7255099"
"Mon, 10/11/2021 , 12:00",1,"32.389909, 23.366392"
"Tue, 10/12/2021 , 12:00",1,"32.87954424, 13.19048079"
"Tue, 10/05/2021 , 12:00",1,"53.90184923, 24.57575187"
"Thu, 09/02/2021 , 12:00",1,"41.683667, 26.419139"
"Fri, 09/24/2021 , 12:00",30,"24.89691933, -16.64870169"
"Fri, 10/15/2021 , 12:00",1,"35.2345951, -3.987640788"
"Sat, 10/16/2021 , 12:00",4,"37.02470175, 3.095693662"
"Sun, 10/17/2021 , 12:00",1,"27.79283828, -15.76206322"
"Sun, 10/17/2021 , 12:00",12,"36.94485888, -1.763043028"
"Thu, 10/14/2021 , 12:00",25,"36.19749249, -6.551422936"
"Wed, 10/13/2021 , 12:00",1,"53.437805, 23.695697"
"Tue, 10/19/2021 , 12:00",2,"47.770183, 16.618461"
"Sun, 10/17/2021 , 12:00",23,"35.19796725, 11.26021325"
"Thu, 10/07/2021 , 12:00",2,"30.96647402, 61.82204193"
"Thu, 09/30/2021 , 12:00",2,"10.92713249, -74.7715589"
"Sat, 10/09/2021 , 12:00",1,"-19.46261815, -68.9278447"
"Sat, 10/09/2021 , 12:00",1,"-19.35990038, -68.51905211"
"Mon, 10/11/2021 , 12:00",1,"-19.26246544, -68.61877068"
"Mon, 10/11/2021 , 12:00",3,"8.673331633, -77.35773355"
"Thu, 10/07/2021 , 12:00",1,"31.01237785, -104.8442303"
"Sat, 10/09/2021 , 12:00",1,"22.38292258, -97.90686967"
"Sat, 10/09/2021 , 12:00",1,"28.69855764, -100.5114109"
"Sun, 10/03/2021 , 12:00",1,"17.48257635, -91.4269431"
"Tue, 10/05/2021 , 12:00",1,"28.69088472, -100.5388598"
"Mon, 10/11/2021 , 12:00",1,"18.01419815, -94.44612976"
"Fri, 10/22/2021 , 12:00",1,"53.57723, 23.619294"
"Thu, 09/23/2021 , 12:00",1,"53.543999, 23.676519"
"Sun, 08/08/2021 , 12:00",12,"35.15349237, 11.05134475"
"Sun, 08/08/2021 , 12:00",1,"35.04212355, 11.02420093"
"Sun, 08/08/2021 , 12:00",1,"35.52488725, 11.04311776"
"Mon, 08/09/2021 , 12:00",5,"35.52488725, 11.04311776"
"Mon, 08/09/2021 , 12:00",3,"35.08361366, 11.0237088"
"Fri, 10/15/2021 , 12:00",1,"40.653065, 22.838376"
"Thu, 10/14/2021 , 12:00",1,"27.19756, -15.081295"
"Sun, 10/24/2021 , 12:00",8,"26.125388, -15.418416"
"Tue, 10/19/2021 , 12:00",3,"29.495425, 16.20458975"
"Sat, 10/23/2021 , 12:00",1,"35.26093563, -3.927007978"
"Sat, 10/23/2021 , 12:00",1,"41.302883, 22.438162"
"Sat, 10/23/2021 , 12:00",1,"41.302883, 22.438162"
"Sat, 10/16/2021 , 12:00",1,"41.365818, 22.249416"
"Sun, 09/19/2021 , 12:00",1,"42.210631, 21.720455"
"Fri, 10/22/2021 , 12:00",2,"41.24954, 26.355966"
"Tue, 10/26/2021 , 12:00",5,"38.298699, 26.161462"
"Fri, 10/22/2021 , 12:00",1,"33.08469, 12.494278"
"Mon, 10/25/2021 , 12:00",1,"51.886299, 1.54785"
"Tue, 10/19/2021 , 12:00",1,"-19.2816281, -68.62696388"
"Sun, 10/10/2021 , 12:00",4,"13.5159502, -89.33129487"
"Sat, 09/18/2021 , 12:00",1,"31.90397753, -106.8479224"
"Mon, 09/20/2021 , 12:00",1,"31.35750937, -110.5212405"
"Fri, 10/15/2021 , 12:00",1,"25.56016093, -103.5074903"
"Mon, 10/18/2021 , 12:00",1,"26.51367847, -99.06444925"
"Tue, 10/26/2021 , 12:00",1,"35.2035803, -2.925599336"
"Tue, 11/02/2021 , 12:00",1,"24.30139889, -15.33444668"
"Fri, 10/29/2021 , 12:00",4,"31.10635, -104.814508"
"Fri, 10/29/2021 , 12:00",1,"32.534813, -117.123798"
"Sun, 10/31/2021 , 12:00",1,"15.690987, -93.200506"
"Thu, 10/28/2021 , 12:00",1,"28.743547, -100.510108"
"Thu, 10/21/2021 , 12:00",1,"-19.28207463, -68.62450408"
"Tue, 11/02/2021 , 12:00",1,"27.299718, -14.062667"
"Mon, 10/25/2021 , 12:00",1,"14.67417181, -92.14855135"
"Wed, 10/27/2021 , 12:00",1,"14.67417181, -92.14855135"
"Mon, 10/25/2021 , 12:00",1,"29.363194, -100.996556"
"Tue, 10/26/2021 , 12:00",1,"32.58394807, -115.3840582"
"Mon, 10/11/2021 , 12:00",1,"27.78481746, -97.65474969"
"Fri, 10/29/2021 , 12:00",1,"52.37118772, 23.25959509"
"Wed, 10/20/2021 , 12:00",1,"50.954019, 1.911018"
"Wed, 11/03/2021 , 12:00",2,"51.097259, 2.06455"
"Tue, 10/26/2021 , 12:00",1,"14.867763, -92.249936"
"Thu, 11/04/2021 , 12:00",1,"50.888161, 1.660781"
"Mon, 11/01/2021 , 12:00",4,"30.956002, 66.434977"
"Tue, 11/02/2021 , 12:00",5,"13.384507, 102.126183"
"Sat, 11/06/2021 , 12:00",4,"36.700212, 67.087198"
"Thu, 11/04/2021 , 12:00",1,"50.945095, 1.895409"
"Fri, 10/22/2021 , 12:00",2,"8.546665299, -77.48944688"
"Wed, 10/27/2021 , 12:00",2,"18.40822368, -69.49998442"
"Sun, 10/31/2021 , 12:00",1,"15.62888275, -93.16560796"
"Wed, 11/03/2021 , 12:00",1,"29.33791843, -100.9419056"
"Tue, 06/01/2021 , 12:00",1,"31.64276473, -111.0571385"
"Thu, 06/03/2021 , 12:00",1,"32.008629, -111.747142"
"Thu, 06/03/2021 , 12:00",1,"32.013413, -111.640399"
"Sat, 06/05/2021 , 12:00",1,"32.2700864, -111.8504635"
"Sat, 06/05/2021 , 12:00",1,"31.4943, -109.217"
"Sun, 06/06/2021 , 12:00",1,"31.58979734, -111.2393548"
"Mon, 06/07/2021 , 12:00",1,"31.54269, -111.23446"
"Tue, 06/08/2021 , 12:00",1,"31.73991, -111.005163"
"Tue, 06/08/2021 , 12:00",1,"32.72816, -112.00154"
"Fri, 06/11/2021 , 12:00",1,"31.946783, -112.883883"
"Sat, 06/12/2021 , 12:00",1,"31.73784, -111.07666"
"Sun, 06/13/2021 , 12:00",1,"31.701283, -111.93755"
"Sun, 06/13/2021 , 12:00",1,"31.40201, -110.76178"
"Sun, 06/13/2021 , 12:00",1,"31.59423, -111.72823"
"Mon, 06/14/2021 , 12:00",1,"31.87598, -111.76411"
"Mon, 06/14/2021 , 12:00",1,"31.73016, -112.16498"
"Tue, 06/15/2021 , 12:00",1,"31.828, -111.35616"
"Tue, 06/15/2021 , 12:00",1,"31.975733, -112.14945"
"Wed, 06/16/2021 , 12:00",1,"32.7656389, -111.975583"
"Thu, 06/17/2021 , 12:00",1,"31.59371, -111.88175"
"Thu, 06/17/2021 , 12:00",1,"31.6654, -111.856917"
"Fri, 06/18/2021 , 12:00",1,"31.87142, -111.67391"
"Sun, 06/20/2021 , 12:00",1,"31.384382, -110.975182"
"Mon, 06/21/2021 , 12:00",1,"31.842883, -112.139983"
"Mon, 06/21/2021 , 12:00",1,"31.673833, -111.8814"
"Mon, 06/21/2021 , 12:00",1,"31.625417, -111.11985"
"Tue, 06/22/2021 , 12:00",1,"31.365315, -110.102389"
"Tue, 06/22/2021 , 12:00",1,"31.87844, -111.83726"
"Tue, 06/22/2021 , 12:00",1,"32.20701, -111.27506"
"Tue, 06/22/2021 , 12:00",1,"31.903966, -111.493689"
"Thu, 06/24/2021 , 12:00",1,"31.8454, -111.3473"
"Thu, 06/24/2021 , 12:00",1,"31.38989, -110.10595"
"Fri, 06/25/2021 , 12:00",1,"31.63675, -111.51941"
"Sat, 06/26/2021 , 12:00",1,"31.816233, -112.560717"
"Mon, 06/28/2021 , 12:00",1,"31.86785, -112.1309"
"Mon, 06/28/2021 , 12:00",1,"31.67793, -111.85005"
"Mon, 06/28/2021 , 12:00",1,"31.579227, -111.722799"
"Tue, 06/29/2021 , 12:00",1,"32.40244, -113.13169"
"Tue, 06/29/2021 , 12:00",1,"32.0577019, -112.1430215"
"Tue, 06/29/2021 , 12:00",1,"32.59528, -111.99042"
"Tue, 06/29/2021 , 12:00",1,"32.40244, -113.13169"
"Wed, 06/30/2021 , 12:00",1,"32.0805, -113.272667"
"Wed, 06/30/2021 , 12:00",1,"31.82985, -111.781767"
"Wed, 06/30/2021 , 12:00",1,"31.60263689, -111.3146667"
"Fri, 07/02/2021 , 12:00",1,"31.5835, -111.743167"
"Tue, 07/06/2021 , 12:00",1,"31.93265, -112.3656"
"Tue, 07/06/2021 , 12:00",1,"31.791667, -111.953683"
"Thu, 07/08/2021 , 12:00",1,"31.62846, -111.803"
"Thu, 07/08/2021 , 12:00",1,"31.906839, -111.839814"
"Fri, 07/09/2021 , 12:00",1,"32.416533, -111.65485"
"Sat, 07/10/2021 , 12:00",1,"31.3694, -110.09"
"Mon, 07/12/2021 , 12:00",1,"31.5991, -111.73212"
"Tue, 07/13/2021 , 12:00",1,"31.49607, -109.32333"
"Thu, 07/15/2021 , 12:00",1,"31.5115, -110.7475"
"Fri, 07/16/2021 , 12:00",1,"31.705467, -111.882083"
"Fri, 07/16/2021 , 12:00",1,"31.90575, -111.7615"
"Fri, 07/16/2021 , 12:00",1,"31.59611, -109.49583"
"Sat, 07/17/2021 , 12:00",1,"32.39112, -113.14451"
"Sun, 07/18/2021 , 12:00",1,"32.1173598, -113.1905203"
"Tue, 07/20/2021 , 12:00",1,"31.99301, -111.9799"
"Fri, 07/23/2021 , 12:00",1,"31.684917, -111.9938"
"Mon, 07/26/2021 , 12:00",1,"31.757097, -111.969108"
"Fri, 07/30/2021 , 12:00",1,"32.506477, -111.581589"
"Wed, 08/04/2021 , 12:00",1,"31.96975, -111.37328"
"Fri, 08/06/2021 , 12:00",1,"31.784217, -111.6265"
"Sat, 08/07/2021 , 12:00",1,"31.65658, -111.838418"
"Sat, 08/07/2021 , 12:00",1,"31.375806, -110.053722"
"Sat, 08/07/2021 , 12:00",1,"32.657916, -111.408201"
"Mon, 08/09/2021 , 12:00",1,"31.915917, -112.58185"
"Mon, 08/09/2021 , 12:00",1,"32.140333, -113.2485"
"Wed, 08/11/2021 , 12:00",1,"32.259483, -113.245333"
"Mon, 08/16/2021 , 12:00",1,"31.9107, -112.917883"
"Fri, 08/20/2021 , 12:00",1,"31.67463, -111.268396"
"Tue, 08/24/2021 , 12:00",1,"32.28479, -113.33299"
"Tue, 08/24/2021 , 12:00",1,"31.9548594, -111.9433027"
"Thu, 08/26/2021 , 12:00",1,"31.348334, -109.4876"
"Mon, 08/30/2021 , 12:00",1,"32.35807965, -111.0442281"
"Tue, 08/31/2021 , 12:00",1,"31.7813, -111.0858"
"Tue, 08/31/2021 , 12:00",1,"31.724367, -111.98705"
"Wed, 09/01/2021 , 12:00",1,"31.66081, -111.86031"
"Thu, 09/02/2021 , 12:00",1,"31.8624492, -111.8814056"
"Fri, 09/03/2021 , 12:00",1,"32.45723, -112.67819"
"Fri, 09/03/2021 , 12:00",1,"32.37884, -113.11405"
"Fri, 09/03/2021 , 12:00",1,"31.769917, -112.1308"
"Tue, 09/07/2021 , 12:00",1,"31.9773935, -111.7345073"
"Wed, 09/08/2021 , 12:00",1,"31.935556, -112.365833"
"Wed, 09/08/2021 , 12:00",1,"31.88375, -112.4077"
"Thu, 09/09/2021 , 12:00",1,"32.065317, -112.2135"
"Thu, 09/09/2021 , 12:00",1,"31.421389, -111.008056"
"Thu, 09/09/2021 , 12:00",1,"31.421667, -111.0075"
"Fri, 09/10/2021 , 12:00",1,"31.967333, -112.58355"
"Sat, 09/11/2021 , 12:00",1,"31.686067, -112.0191"
"Mon, 09/13/2021 , 12:00",1,"31.663367, -112.050117"
"Tue, 09/14/2021 , 12:00",1,"31.679026, -111.062826"
"Wed, 09/15/2021 , 12:00",1,"32.642067, -112.145533"
"Wed, 09/15/2021 , 12:00",1,"32.226967, -112.359017"
"Wed, 09/15/2021 , 12:00",1,"32.01597, -112.71192"
"Thu, 09/16/2021 , 12:00",1,"31.66209, -111.85433"
"Mon, 09/20/2021 , 12:00",1,"31.824417, -112.144633"
"Mon, 09/20/2021 , 12:00",1,"31.898, -112.858"
"Wed, 09/22/2021 , 12:00",1,"32.412094, -113.127895"
"Wed, 09/22/2021 , 12:00",1,"32.41607, -113.12907"
"Sun, 09/26/2021 , 12:00",1,"32.143655, -112.766149"
"Thu, 09/30/2021 , 12:00",1,"32.02558, -112.13031"
"Thu, 09/30/2021 , 12:00",1,"31.41571, -109.08638"
"Mon, 11/08/2021 , 12:00",1,"32.796608, 12.563574"
"Fri, 11/05/2021 , 12:00",3,"36.977796, 27.401169"
"Thu, 11/11/2021 , 12:00",1,"30.919475, -105.367605"
"Thu, 11/11/2021 , 12:00",12,"31.34266, -105.526907"
"Thu, 11/11/2021 , 12:00",7,"33.83200111, -7.121090617"
"Thu, 11/11/2021 , 12:00",3,"51.02534458, 1.550376163"
"Wed, 11/03/2021 , 12:00",1,"28.69718335, -100.3980276"
"Thu, 11/04/2021 , 12:00",1,"29.33100471, -100.9371237"
"Sun, 11/07/2021 , 12:00",1,"8.66027001, -77.37263742"
"Mon, 11/08/2021 , 12:00",1,"31.78388571, -106.6739087"
"Tue, 11/09/2021 , 12:00",1,"-19.28207854, -68.62362488"
"Tue, 11/09/2021 , 12:00",12,"17.72355831, -92.01214329"
"Mon, 02/01/2021 , 12:00",1,"5.7317573, -71.99683732"
"Sat, 11/06/2021 , 12:00",1,"43.78612555, 7.529977308"
"Sat, 11/13/2021 , 12:00",3,"43.17727757, 22.57856948"
"Wed, 11/10/2021 , 12:00",1,"53.52049107, 23.6783989"
"Sat, 11/13/2021 , 12:00",1,"52.51474331, 23.39347166"
"Sun, 11/14/2021 , 12:00",7,"27.20099237, -15.32732696"
"Sun, 11/14/2021 , 12:00",1,"27.75723993, -15.68548428"
"Sun, 11/14/2021 , 12:00",1,"27.77040552, -15.64368925"
"Tue, 11/16/2021 , 12:00",2,"33.154, 12.195"
"Tue, 11/16/2021 , 12:00",5,"33.154, 12.195"
"Tue, 11/16/2021 , 12:00",1,"33.154, 12.195"
"Tue, 11/16/2021 , 12:00",1,"33.154, 12.195"
"Tue, 11/16/2021 , 12:00",1,"33.154, 12.195"
"Mon, 11/15/2021 , 12:00",2,"27.28180765, -15.09610647"
"Tue, 10/19/2021 , 12:00",1,"52.19667601, 23.37035207"
"Thu, 11/11/2021 , 12:00",1,"37.34119197, 27.27852704"
"Tue, 08/31/2021 , 12:00",3,"29.08506501, 58.33641288"
"Wed, 10/13/2021 , 12:00",1,"9.970011854, 43.4281849"
"Thu, 11/18/2021 , 12:00",1,"52.75983001, 23.92681273"
"Wed, 11/17/2021 , 12:00",77,"33.20428471, 11.59477116"
